year,age_year,number
2020,11-<12,37791
2020,12-<13,37031
2020,13-<14,23391
2020,14-<15,18180
2020,15-<16,1037
2020,16-<17,348
2020,17-<18,172
2020,18-<19,139
2020,19-<20,298
2020,20->,4610
2021,0-<1,44985
2021,1-<2,44185
2021,2-<3,72184
2021,3-<4,80042
2021,4-<5,90022
2021,5-<6,82549
2021,6-<7,48223
2021,7-<8,20536
2021,8-<9,12697
2021,9-<10,13290
2021,10-<11,10991
2021,11-<12,20077
2021,12-<13,37690
2021,13-<14,36474
2021,14-<15,19621
2021,15-<16,5240
2021,16-<17,961
2021,17-<18,327
2021,18-<19,160
2021,19-<20,128
2021,20->,4768
2022,0-<1,30168
2022,1-<2,45007
2022,2-<3,44242
2022,3-<4,72246
2022,4-<5,80028
2022,5-<6,89922
2022,6-<7,82466
2022,7-<8,47944
2022,8-<9,20009
2022,9-<10,10969
2022,10-<11,6196
2022,11-<12,10992
2022,12-<13,20058
2022,13-<14,37594
2022,14-<15,34474
2022,15-<16,6815
2022,16-<17,5223
2022,17-<18,933
2022,18-<19,311
2022,19-<20,151
2022,20->,4919
