month,bidding_no,vehicle_class,quota,bids_success,bids_received,premium
2013-03,1,Category C,225,223,374,53900
2013-03,1,Category D,510,510,669,1895
2013-03,1,Category E,255,248,1036,65001
2013-03,2,Category A,337,337,923,64209
2013-03,2,Category B,307,300,940,73900
2013-03,2,Category C,225,225,312,54111
2013-03,2,Category D,543,543,634,1909
2013-03,2,Category E,279,277,635,73301
2013-04,1,Category A,341,339,966,61029
2013-04,1,Category B,302,287,835,67010
2013-04,1,Category C,227,227,334,56011
2013-04,1,Category D,506,412,680,1812
2013-04,1,Category E,245,244,450,66989
2013-04,2,Category A,333,333,993,62497
2013-04,2,Category B,310,281,683,62000
2013-04,2,Category C,225,218,354,58502
2013-04,2,Category D,506,505,545,1791
2013-04,2,Category E,240,227,421,62000
2013-05,1,Category A,336,329,912,62999
2013-05,1,Category B,317,317,601,61700
2013-05,1,Category C,225,223,312,57051
2013-05,1,Category D,600,595,719,1700
2013-05,1,Category E,239,238,447,62301
2013-05,2,Category A,333,324,888,64839
2013-05,2,Category B,332,329,749,67304
2013-05,2,Category C,233,232,288,56889
2013-05,2,Category D,507,459,642,1663
2013-05,2,Category E,251,239,466,66701
2013-06,1,Category A,341,336,855,67301
2013-06,1,Category B,302,274,732,75000
2013-06,1,Category C,227,226,292,57989
2013-06,1,Category D,511,479,616,1701
2013-06,1,Category E,239,189,534,76000
2013-06,2,Category A,342,341,788,69903
2013-06,2,Category B,305,304,734,81751
2013-06,2,Category C,227,221,289,59001
2013-06,2,Category D,554,534,647,1712
2013-06,2,Category E,251,250,466,83001
2013-07,1,Category A,338,328,716,73100
2013-07,1,Category B,331,325,652,77110
2013-07,1,Category C,226,226,301,61011
2013-07,1,Category D,538,536,679,1610
2013-07,1,Category E,288,284,485,77000
2013-07,2,Category A,334,332,621,73989
2013-07,2,Category B,303,301,574,76389
2013-07,2,Category C,232,226,335,65036
2013-07,2,Category D,526,516,652,1712
2013-07,2,Category E,240,237,425,76802
2013-08,1,Category A,373,371,754,75556
2013-08,1,Category B,380,373,682,77600
2013-08,1,Category C,258,257,364,68251
2013-08,1,Category D,482,481,568,1792
2013-08,1,Category E,264,261,407,77989
2013-08,2,Category A,366,360,596,76223
2013-08,2,Category B,375,371,627,76607
2013-08,2,Category C,263,257,385,71001
2013-08,2,Category D,491,449,615,1722
2013-08,2,Category E,264,264,385,79223
2013-09,1,Category A,366,365,609,77304
2013-09,1,Category B,381,378,623,77100
2013-09,1,Category C,258,254,340,73999
2013-09,1,Category D,481,481,569,1660
2013-09,1,Category E,263,181,431,80000
2013-09,2,Category A,370,361,654,83751
2013-09,2,Category B,377,368,703,86239
2013-09,2,Category C,263,257,321,76001
2013-09,2,Category D,523,521,579,1703
2013-09,2,Category E,261,253,459,87001
2013-10,1,Category A,365,361,615,85000
2013-10,1,Category B,376,373,649,93500
2013-10,1,Category C,261,261,315,76310
2013-10,1,Category D,481,475,567,1961
2013-10,1,Category E,342,330,483,93889
2013-10,2,Category A,373,373,596,76889
2013-10,2,Category B,382,376,515,87910
2013-10,2,Category C,263,262,358,68002
2013-10,2,Category D,482,481,586,1804
2013-10,2,Category E,269,264,337,92289
2013-11,1,Category A,368,368,590,72609
2013-11,1,Category B,376,376,482,84578
2013-11,1,Category C,257,256,427,55503
2013-11,1,Category D,487,487,569,1710
2013-11,1,Category E,273,270,379,89001
2013-11,2,Category A,364,361,650,74991
2013-11,2,Category B,379,375,536,79300
2013-11,2,Category C,258,252,397,55002
2013-11,2,Category D,481,437,543,1712
2013-11,2,Category E,266,259,410,83000
2013-12,1,Category A,364,364,591,73160
2013-12,1,Category B,373,360,549,73010
2013-12,1,Category C,258,257,359,51112
2013-12,1,Category D,481,473,647,1782
2013-12,1,Category E,264,264,365,76901
2013-12,2,Category A,367,363,574,74002
2013-12,2,Category B,377,357,500,75700
2013-12,2,Category C,263,256,338,48001
2013-12,2,Category D,524,501,680,1812
2013-12,2,Category E,268,268,375,77501
2014-01,1,Category A,364,361,623,72369
2014-01,1,Category B,386,377,581,78700
